participant_id	cnb_adt_cr	cnb_adt_rtcr	cnb_adt_er	cnb_adt_rter	cnb_adt_female_cr	cnb_adt_female_rtcr	cnb_adt_male_cr	cnb_adt_male_rtcr
sub-102041	32.0	1759.0	4.0	5436.5	15.0	1847.0	17.0	1679.0
sub-103679	25.0	1424.0	11.0	2904.0	12.0	1195.5	13.0	1752.0
sub-104059	27.0	1647.0	9.0	1839.0	13.0	1463.0	14.0	1794.5
sub-104235	20.0	1848.0	16.0	2279.0	7.0	2056.0	13.0	1840.0
sub-104785	31.0	1960.0	5.0	2583.0	16.0	2139.5	15.0	1960.0
sub-105168	23.0	1887.0	13.0	3079.0	10.0	1839.5	13.0	1904.0
sub-105176	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-105309	28.0	2651.5	8.0	2807.5	14.0	2399.0	14.0	2715.5
sub-105767	26.0	1599.0	10.0	1335.5	13.0	1511.0	13.0	1727.0
sub-105860	27.0	1439.0	9.0	3359.0	12.0	1543.5	15.0	1264.0
sub-105979	30.0	2035.0	6.0	3260.0	14.0	2035.0	16.0	2211.0
sub-106039	29.0	3375.0	7.0	4991.0	14.0	3532.0	15.0	3375.0
sub-106071	24.0	1774.5	12.0	3127.0	10.0	2035.0	14.0	1683.0
sub-106246	29.0	1864.0	7.0	4024.0	13.0	1776.0	16.0	1927.5
sub-106331	32.0	2200.0	4.0	4427.5	15.0	2208.0	17.0	2192.0
sub-106802	26.0	2619.5	10.0	2291.5	10.0	2576.0	16.0	2619.5
sub-106880	29.0	2095.0	7.0	2311.0	13.0	2040.0	16.0	2511.0
sub-107055	28.0	1535.5	8.0	2103.5	13.0	1495.0	15.0	1592.0
sub-108202	27.0	2383.0	9.0	8551.0	11.0	2383.0	16.0	2556.5
sub-109521	26.0	4083.5	10.0	3171.0	12.0	3891.0	14.0	4111.5
sub-109646	26.0	1540.0	10.0	4151.0	10.0	1420.0	16.0	1540.0
sub-109735	29.0	2544.0	7.0	3551.0	12.0	2375.5	17.0	2567.0
sub-110168	29.0	1488.0	7.0	1992.0	13.0	1488.0	16.0	1639.5
sub-110354	17.0	1887.0	19.0	1624.0	6.0	1879.0	11.0	1887.0
sub-110828	24	2351.5	12	2532	11	2039	13	2456
sub-112028	27.0	1831.0	9.0	2464.0	11.0	1759.0	16.0	1859.5
sub-112061	30.0	2215.0	6.0	3503.5	15.0	2608.0	15.0	1984.0
sub-112126	30.0	1640.5	6.0	3771.0	14.0	1567.0	16.0	1691.5
sub-112249	31.0	2087.0	5.0	2855.0	15.0	1840.0	16.0	2251.5
sub-112332	29.0	1816.0	7.0	3328.0	14.0	1888.5	15.0	1504.0
sub-112694	30.0	1611.0	6.0	1344.5	13.0	1735.0	17.0	1487.0
sub-113111	30.0	2611.0	6.0	3491.5	15.0	2392.0	15.0	2712.0
sub-114709	27.0	2077.0	9.0	2359.0	13.0	2077.0	14.0	2039.5
sub-114713	30.0	1528.0	6.0	1744.5	14.0	1571.5	16.0	1528.0
sub-114723	29.0	2016.0	7.0	2592.0	13.0	1736.0	16.0	2151.0
sub-114935	28.0	1951.5	8.0	1892.0	12.0	1883.5	16.0	1966.5
sub-114990	26.0	1596.0	10.0	1700.0	12.0	1647.5	14.0	1596.0
sub-115800	25.0	2752.0	11.0	5455.0	12.0	2767.5	13.0	2752.0
sub-116019	27.0	2656.0	9.0	3303.0	12.0	2799.5	15.0	2656.0
sub-116051	24.0	1962.5	12.0	2162.5	10.0	1790.5	14.0	2059.0
sub-116210	31.0	2095.0	5.0	2663.0	13.0	1991.0	18.0	2235.5
sub-116354	26.0	2391.5	10.0	2767.5	12.0	2112.0	14.0	3059.0
sub-116360	28.0	1623.0	8.0	2135.0	13.0	1623.0	15.0	1623.0
sub-117226	23.0	1616.0	13.0	1582.0	9.0	1687.0	14.0	1591.5
sub-117397	25.0	2056.0	11.0	2344.0	12.0	2403.5	13.0	1959.0
sub-118393	29.0	1977.0	7.0	6520.0	15.0	2183.0	14.0	1795.0
sub-118864	25	1703	11	2256	10	2370.5	15	1688
sub-118990	25.0	1912.0	11.0	2591.0	9.0	1486.0	16.0	2436.0
sub-119302	26.0	2096.0	10.0	5279.0	12.0	2276.0	14.0	2096.0
sub-119791	24.0	2027.5	12.0	2067.0	9.0	1815.0	15.0	2551.0
sub-120217	30.0	1632.0	6.0	3196.0	15.0	1759.0	15.0	1424.0
sub-120562	21.0	1911.0	15.0	1671.0	8.0	1783.5	13.0	1943.0
sub-121001	30.0	2139.5	6.0	2251.0	13.0	2232.0	17.0	1950.0
sub-121050	30.0	2659.0	6.0	3747.5	14.0	3267.0	16.0	2619.5
sub-121085	26.0	1332.5	10.0	1868.5	12.0	1647.5	14.0	1214.5
sub-121407	29.0	1879.0	7.0	3592.0	13.0	1855.0	16.0	2055.5
sub-121476	25.0	1592.0	11.0	1848.0	11.0	1520.0	14.0	1668.0
sub-121670	25	2277	11	2680	11	2528	14	2036
sub-122522	25.0	1736.0	11.0	2712.0	11.0	1735.0	14.0	1764.0
sub-122528	31.0	2646.0	5.0	6008.0	16.0	2827.0	15.0	2280.0
sub-122801	29.0	1607.0	7.0	2247.0	12.0	1587.0	17.0	1776.0
sub-122916	29.0	1784.0	7.0	3103.0	12.0	2135.5	17.0	1712.0
sub-125511	29.0	1799.0	7.0	3808.0	13.0	1848.0	16.0	1663.5
sub-125535	24.0	1495.0	12.0	4336.0	12.0	1495.0	12.0	1502.0
sub-125554	32.0	2223.5	4.0	7435.5	14.0	2048.0	18.0	2875.5
sub-126176	27.0	3591.0	9.0	5407.0	12.0	2911.5	15.0	3896.0
sub-126389	24.0	3507.5	12.0	6079.5	11.0	4104.0	13.0	2440.0
sub-126554	28.0	2219.0	8.0	5659.5	13.0	1871.0	15.0	2320.0
sub-126903	29.0	1720.0	7.0	4272.0	14.0	1735.5	15.0	1719.0
sub-126921	31.0	3407.0	5.0	11184.0	15.0	2952.0	16.0	4016.0
sub-127008	26.0	1867.5	10.0	1788.0	13.0	2064.0	13.0	1624.0
sub-127236	29.0	3632.0	7.0	3215.0	14.0	3571.5	15.0	3632.0
sub-127305	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-127417	30.0	2652.0	6.0	3015.5	15.0	2887.0	15.0	2360.0
sub-127542	24.0	1643.5	12.0	1611.5	10.0	1583.5	14.0	1696.0
sub-127611	26.0	1835.0	10.0	3412.5	12.0	1826.5	14.0	1968.0
sub-128061	20	1683.5	16	1375.5	9	1760	11	1624
sub-128154	21.0	1784.0	15.0	2535.0	9.0	2248.0	12.0	1740.0
sub-129354	15.0	1463.0	21.0	1215.0	5.0	1391.0	10.0	1499.5
sub-129405	26	1947	10	1995.5	11	1775	15	2431
sub-129552	25.0	1991.0	11.0	1959.0	11.0	1968.0	14.0	2007.0
sub-129720	32.0	2135.0	4.0	5855.5	15.0	2263.0	17.0	1936.0
sub-129886	28.0	2439.0	8.0	3272.0	14.0	2660.0	14.0	2298.5
sub-129926	28.0	1639.0	8.0	1827.5	13.0	1487.0	15.0	1695.0
sub-130121	21.0	1943.0	15.0	2512.0	9.0	1968.0	12.0	1935.5
sub-130211	26.0	2716.0	10.0	3932.0	12.0	2403.5	14.0	2935.5
sub-130687	27.0	2792.0	9.0	2904.0	12.0	3008.5	15.0	2449.0
sub-130759	26	1507.5	10	1588	12	1471.5	14	1579
sub-130896	25.0	1544.0	11.0	1960.0	9.0	1544.0	16.0	1576.0
sub-131224	26.0	1676.0	10.0	1812.0	11.0	1672.0	15.0	1720.0
sub-131867	25.0	1783.0	11.0	3119.0	11.0	1848.0	14.0	1744.0
sub-132179	24.0	3535.5	12.0	3955.5	11.0	4360.0	13.0	3144.0
sub-132224	27.0	1704.0	9.0	2159.0	11.0	1704.0	16.0	1775.5
sub-132657	29.0	2151.0	7.0	5527.0	14.0	2143.5	15.0	2151.0
sub-133220	30.0	2003.5	6.0	4954.5	14.0	2371.5	16.0	1783.5
sub-139272	24.0	1520.0	12.0	1723.0	11.0	1528.0	13.0	1512.0
sub-19977	26.0	1746.0	10.0	1957.0	11.0	1783.0	15.0	1742.0
sub-19981	31.0	1880.0	5.0	4891.0	15.0	1880.0	16.0	2017.0
sub-20011	24.0	1456.0	12.0	1428.0	13.0	1400.0	11.0	1527.0
sub-20017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-20120	27.0	3151.0	9.0	3536.0	11.0	3079.0	16.0	3603.0
sub-20151	28.0	1892.0	8.0	2179.5	14.0	1911.5	14.0	1823.0
sub-20153	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-20189	29.0	1559.0	7.0	3511.0	13.0	1543.0	16.0	1615.5
sub-20197	30.0	2336.0	6.0	3779.5	14.0	2456.0	16.0	2084.0
sub-20247	26.0	2560.0	10.0	2527.5	11.0	2623.0	15.0	2560.0
sub-20313	29.0	2257.0	7.0	2935.0	14.0	2120.0	15.0	2336.0
sub-20320	26.0	1747.5	10.0	2243.0	11.0	1695.0	15.0	1879.0
